Suburb,SuburbTown,Chinese_Tot_Resp,Aust_Tot_Resp,proportion
Abbotsford,ABBOTSFORD,838,1794,0.467112598
Abbotsford,COLLINGWOOD,838,1794,0.467112598
Abbotsford,RICHMOND,838,1794,0.467112598
Aberfeldie,ABERFELDIE,101,1074,0.094040968
Aberfeldie,ESSENDON,101,1074,0.094040968
Aberfeldie,MOONEE PONDS,101,1074,0.094040968
Aireys Inlet,AIREYS INLET,3,282,0.010638298
Aireys Inlet,AIRLEYS INLET,3,282,0.010638298
Airport West,AIRPORT WEST,187,1804,0.103658537
Airport West,NIDDRIE,187,1804,0.103658537
Albanvale,ALBANVALE,319,656,0.486280488
Albert Park,ALBERT PARK,130,1559,0.083386786
Albert Park,MIDDLE PARK,130,1559,0.083386786
Albert Park,SOUTH MELBOURNE,130,1559,0.083386786
Alberton West,ALBERTON WEST,0,42,0
Albion,ALBION,296,748,0.395721925
Albion,SUNSHINE,296,748,0.395721925
Alexandra,ALEXANDRA,3,1190,0.002521008
Alfredton,ALFREDTON,229,3407,0.067214558
Alfredton,BALLARAT,229,3407,0.067214558
Allans Flat,ALLANS FLAT,0,143,0
Allansford,ALLANSFORD,3,742,0.004043127
Allansford,WARRNAMBOOL,3,742,0.004043127
Alphington,ALPHINGTON,232,1487,0.15601883
Alphington,FAIRFIELD,232,1487,0.15601883
Altona,ALTONA,364,2972,0.122476447
Altona Meadows,ALTONA MEADOWS,858,4299,0.199581298
Altona North,ALTONA,500,2271,0.220167327
Altona North,ALTONA NORTH,500,2271,0.220167327
Alvie,ALVIE,0,52,0
Amphitheatre,AMPHITHEATRE,0,118,0
Anakie,ANAKIE,0,273,0
Anglesea,ANGLESEA,14,1084,0.012915129
Apollo Bay,APOLLO BAY,23,546,0.042124542
Apsley,APSLEY,0,135,0
Ararat,ARARAT,76,3287,0.023121387
Ardeer,ARDEER,105,460,0.22826087
Ardeer,DEER PARK,105,460,0.22826087
Ardmona,ARDMONA,26,181,0.143646409
Armadale,ARMADALE,453,2306,0.196444059
Armadale,MALVERN,453,2306,0.196444059
Arthurs Creek,ARTHURS CREEK  ,3,207,0.014492754
Ascot (Greater Bendigo - Vic.),EPSOM,18,913,0.019715225
Ascot Vale,ASCOT VALE,810,3567,0.227081581
Ashburton,ASHBURTON,828,2304,0.359375
Ashburton,GLEN IRIS,828,2304,0.359375
Ashwood,ASHWOOD,1154,1497,0.770875084
Aspendale,ASPENDALE,117,2530,0.046245059
Aspendale,MORDIALLOC,117,2530,0.046245059
Athlone,ATHLONE,0,64,0
Avalon,POINT WILSON,47,80,0.5875
Avenel,AVENEL,7,440,0.015909091
Avoca,AVOCA,8,503,0.015904573
Avondale Heights,AVONDALE HEIGHTS,785,1675,0.468656716
Axedale,AXEDALE,0,389,0
Bacchus Marsh,BACCHUS MARSH,33,2461,0.013409183
Bairnsdale,BAIRNSDALE,78,3278,0.023794997
Ballan,BALLAN,14,1192,0.011744966
Ballarat Central,BALLARAT,106,1890,0.056084656
Ballarat East,BALLARAT,77,2050,0.037560976
Ballarat East,BALLARAT EAST,77,2050,0.037560976
Ballarat North,BALLARAT NORTH,57,1484,0.038409704
Balliang,BALLIANG,0,103,0
Balmoral,BALMORAL,5,100,0.05
Balnarring,BALNARRING,6,977,0.006141249
Balnarring Beach,BALNARRING BEACH,0,137,0
Balwyn,BALWYN,3720,2501,1.487405038
Balwyn,SURREY HILLS,3720,2501,1.487405038
Balwyn North,BALWYN NORTH,5317,3474,1.530512378
Balwyn North,BULLEEN,5317,3474,1.530512378
Balwyn North,NORTH BALWYN,5317,3474,1.530512378
Bamawm,BAMAWM,0,261,0
Bamawm Extension,BAMAWM,3,118,0.025423729
Bambra,BAMBRA,0,38,0
Bandiana,BANDIANA MILPO,4,276,0.014492754
Bangholme,BANGHOLME,0,196,0
Bannockburn,BANNOCKBURN,14,2437,0.005744768
Banyena,BANYENA,0,13,0
Baranduda,BARANDUDA,9,1149,0.007832898
Baringhup,BARINGHUP,0,120,0
Baringhup,BARINHUP,0,120,0
Barmah,BARMAH,0,94,0
Barnawartha,BARNAWARTHA,3,435,0.006896552
Barnawartha North,WODONGA,0,59,0
Barongarook,BARONGAROOK,0,186,0
Barrabool,BARRABOOL,0,95,0
Barunah Park,BARUNAH PARK,0,13,0
Barwidgee,MYRTLEFORD,0,39,0
Barwon Downs,BARWON DOWNS,0,37,0
Barwon Heads,BARWON HEADS,21,1521,0.013806706
Bass,BASS,3,161,0.01863354
Batesford,BATESFORD,0,394,0
Baw Baw Village,(blank),3,3,1
Bayswater,BAYSWATER,1159,3325,0.348571429
Bayswater North,BAYSWATER,431,3051,0.141265159
Bayswater North,BAYSWATER NORTH,431,3051,0.141265159
